Date;Open;High;Low;Close;Volume
08/11/2020;10.1;10.1;9.9;9.9;900
08/10/2020;9.84;9.84;9.71;9.71;1,172
08/07/2020;9.55;9.56;9.55;9.56;3,891
08/06/2020;9.69;9.7;9.51;9.7;2,113
08/05/2020;9.75;9.79;9.6;9.79;1,427
08/04/2020;9.5;9.7;9.5;9.69;1,728
08/03/2020;9.64;9.64;9.64;9.64;690
07/31/2020;9.64;9.64;9.4;9.4;3,857
07/30/2020;9.59;9.6;9.4;9.6;2,064
07/29/2020;9.9;9.9;9.9;9.9;556
07/28/2020;9.9;9.95;9.86;9.95;2,238
07/27/2020;9.84;9.84;9.66;9.825;4,775
07/24/2020;9.8;9.8;9.63;9.63;2,832
07/23/2020;9.8;9.9;9.8;9.89;713
07/22/2020;9.85;10.1;9.85;10;2,711
07/21/2020;10.05;10.05;9.9;10;2,701
07/20/2020;9.9;9.9;9.75;9.9;4,343
07/17/2020;10.045;10.05;9.86;9.975;3,935
07/16/2020;10.3;10.3;10.25;10.25;543
07/15/2020;9.851;10.05;9.851;10.05;4,335
07/14/2020;10.25;10.29;10.1;10.1;3,663
07/13/2020;10.07;10.19;10.07;10.19;4,882
07/10/2020;9.79;9.849;9.65;9.849;4,301
07/09/2020;9.9;9.9;9.59;9.59;2,207
07/08/2020;9.91;9.91;9.9;9.9;484
07/07/2020;9.8;9.94;9.8;9.94;2,529
07/06/2020;9.85;9.99;9.85;9.871;4,881
07/02/2020;9.6;9.79;9.56;9.6;2,807
07/01/2020;9.39;9.6;9.35;9.6;1,334
06/30/2020;9.41;9.55;9.41;9.55;1,395
06/29/2020;9.75;9.85;9.63;9.63;1,904
06/26/2020;9.65;9.8;9.505;9.65;2,562
06/25/2020;9.601;9.601;9.601;9.601;1,821
06/24/2020;9.81;9.81;9.5;9.5;1,914
06/23/2020;9.96;10;9.96;10;2,773
06/22/2020;9.71;9.75;9.555;9.75;2,760
06/19/2020;9.85;9.85;9.6;9.84;6,232
06/18/2020;9.69;9.81;9.69;9.81;775
06/17/2020;9.95;9.95;9.95;9.95;933
06/16/2020;9.75;9.9;9.7;9.7;7,693
06/15/2020;9.51;9.65;9.45;9.65;4,374
06/12/2020;9.85;9.85;9.4;9.6;4,293
06/11/2020;9.96;9.96;9.28;9.321;4,257
06/10/2020;10.305;10.55;10.305;10.55;1,804
06/09/2020;10.31;10.45;10.19;10.41;6,794
06/08/2020;10.65;10.65;10.4;10.56;4,423
06/05/2020;10.04;10.3;10.04;10.3;9,573
06/04/2020;10.11;10.2;10.04;10.16;2,028
06/03/2020;10.15;10.2;10;10.04;5,588
06/02/2020;9.91;9.95;9.75;9.95;1,998
06/01/2020;9.61;9.65;9.42;9.49;3,387
05/29/2020;9.56;9.6;9.4;9.53;2,074
